29 30 1
1 2 1 2
2 2 2 3
3 2 3 4
4 2 4 5
5 2 5 6
6 2 6 7
7 2 7 8
8 2 8 9
9 2 9 10
10 2 10 11
11 2 11 12
12 2 12 13
13 2 13 14
14 2 14 15
15 2 15 16
16 2 16 17
17 2 17 18
18 2 18 19
19 2 19 20
20 2 20 21
21 2 21 22
22 2 22 23
23 2 23 24
24 2 24 25
25 2 25 26
26 2 26 27
27 2 27 28
28 2 28 29
29 2 29 30
1 0 0 0
2 0.0344828 0 0
3 0.0689655 0 0
4 0.103448 0 0
5 0.137931 0 0
6 0.172414 0 0
7 0.206897 0 0
8 0.241379 0 0
9 0.275862 0 0
10 0.310345 0 0
11 0.344828 0 0
12 0.37931 0 0
13 0.413793 0 0
14 0.448276 0 0
15 0.482759 0 0
16 0.517241 0 0
17 0.551724 0 0
18 0.586207 0 0
19 0.62069 0 0
20 0.655172 0 0
21 0.689655 0 0
22 0.724138 0 0
23 0.758621 0 0
24 0.793103 0 0
25 0.827586 0 0
26 0.862069 0 0
27 0.896552 0 0
28 0.931034 0 0
29 0.965517 0 0
30 1 0 0
1 1
1
5
